budget,release_date,revenue,vote_average,vote_count,year,Success
31000000,2002-12-19,177394432,7.2,635,2002,True
65000000,2012-11-09,275293450,6.7,1429,2012,True
31000000,2010-01-21,15134293,6.0,89,2010,False
90000000,2003-11-25,182290266,5.2,466,2003,True
25000000,2000-12-14,152500343,6.8,951,2000,True
250000000,2014-12-10,956019788,7.1,4760,2014,True
30000000,2001-09-14,23619609,5.4,201,2001,False
12000000,2004-11-09,9584131,6.5,565,2004,False
93000000,2001-07-18,368780809,5.7,2077,2001,True
28000000,2011-09-02,10126458,4.9,132,2011,False
11000000,2000-01-12,59827328,6.4,135,2000,True
24000000,2011-09-16,30551495,5.0,141,2011,False
6500000,1999-04-09,28451622,7.0,196,1999,True
44000000,1996-10-18,165615285,7.3,715,1996,True
98000000,2001-04-28,433013274,6.0,2206,2001,True
27000000,1991-12-05,96900000,6.7,413,1991,True
2000000,2009-08-13,33965843,7.8,626,2009,True
18000000,2013-07-25,99206215,7.0,1098,2013,True
135000000,2015-03-18,368871007,6.8,1519,2015,True
2200000,1985-03-22,21930418,5.1,196,1985,True
1500000,1995-07-28,7412216,6.8,279,1995,True
6000000,1980-07-25,39846344,6.6,365,1980,True
102000000,2012-10-26,130482868,6.6,2977,2012,False
15000000,2007-12-27,30226144,6.9,151,2007,True
100000000,2000-07-21,155464351,6.3,488,2000,True
6000000,1991-06-08,869325,4.6,17,1991,False
35000000,2013-01-23,46216641,5.7,1455,2013,False
3500000,2010-07-09,34705850,6.5,506,2010,True
25000000,1994-07-01,48063435,5.4,138,1994,True
3800000,2012-08-28,16800000,7.9,927,2012,True
3500000,1980-07-02,83453539,7.1,1074,1980,True
48000000,1999-08-06,124305181,6.6,339,1999,True
250000,1997-09-09,501818,6.9,1069,1997,True
12500000,2002-12-19,23367586,6.7,137,2002,True
52500000,2001-03-09,179213434,7.4,1300,2001,True
34000000,1993-09-17,32255440,7.0,169,1993,False
3000000,2008-09-26,3830137,6.0,127,2008,False
15000000,1998-03-06,46189568,7.8,2926,1998,True
110000000,2011-07-29,563749323,5.5,1179,2011,True
650000,2010-09-30,33245,6.2,285,2010,False
25000000,1998-12-11,289317794,6.8,796,1998,True
21000000,2001-02-11,28008462,6.2,92,2001,False
21000000,2011-03-25,72417394,6.3,238,2011,True
2000000,2005-10-06,5048693,7.1,218,2005,True
100000000,2010-12-21,310650585,5.4,1060,2010,True
2000000,2006-05-20,5179037,6.3,140,2006,True
2200000,2006-01-26,11502151,7.2,97,2006,True
7000000,1988-08-12,8373585,7.0,201,1988,False
22000000,2014-02-28,67800064,5.9,83,2014,True
53000000,2001-05-15,29700000,5.6,88,2001,False
20000000,1998-03-20,67200000,6.3,444,1998,True
18000000,2007-09-20,26527510,6.5,158,2007,False
20000000,1997-11-14,13801755,6.5,125,1997,False
32000000,2013-06-12,126041322,6.3,2359,2013,True
70000000,1996-12-12,101371017,6.1,1509,1996,False
40000000,2010-07-03,126248813,6.0,1206,2010,True
22000000,1993-11-29,321365567,8.3,4329,1993,True
200000000,1997-11-18,1845034188,7.5,7562,1997,True
35000000,2015-09-24,194564672,7.1,1881,2015,True
22000000,2000-10-27,13555988,6.1,77,2000,False
38000000,2011-03-15,114156230,6.7,850,2011,True
16000000,1999-04-16,18564088,6.8,378,1999,False
13500000,2013-01-01,19255873,7.7,704,2013,False
6000000,1999-07-16,25059640,7.1,34,1999,True
17000000,2015-11-12,24000000,5.4,167,2015,False
132000000,2005-06-28,591739379,6.2,2322,2005,True
150000000,2015-07-23,682330139,7.1,3224,2015,True
15000000,2001-07-20,274925095,8.3,3840,2001,True
7000000,1996-03-22,14702438,6.3,66,1996,True
6000000,2014-01-20,32251,5.5,87,2014,False
53000000,2005-03-04,95226116,5.4,292,2005,True
80000000,1996-05-22,457696359,6.7,2631,1996,True
30000000,2012-02-05,196114570,7.0,1293,2012,True
25000000,1998-09-11,777423,6.2,19,1998,False
149000000,2006-10-22,64459316,6.0,874,2006,False
1000000,2012-01-06,101758490,4.6,262,2012,True
3000000,1970-05-01,18999718,6.2,361,1970,True
70000000,1998-12-10,118000000,6.3,391,1998,True
100000,2012-05-19,95000,5.5,92,2012,False
25000000,2002-12-27,41597830,7.0,451,2002,True
26000000,1994-11-29,36800000,4.5,110,1994,False
29000000,2016-04-07,78636257,5.5,431,2016,True
2500000,1995-01-27,5535405,7.7,959,1995,True
24000000,1986-11-25,133000000,6.9,477,1986,True
9000000,1971-11-03,83304330,7.4,134,1971,True
40000000,2010-06-04,90029656,5.9,612,2010,True
11000000,2008-09-17,38105395,7.4,158,2008,True
7000000,2012-06-28,167221571,6.1,1040,2012,True
18000000,1987-06-11,98235548,7.3,2093,1987,True
10000000,1989-02-17,40485039,6.7,454,1989,True
5000000,2013-01-24,31724284,5.0,1551,2013,True
22000000,1990-07-12,505000000,6.9,1339,1990,True
1644736,1938-08-23,7433101,7.2,79,1938,True
24000000,2014-06-20,70181428,6.4,225,2014,True
20000000,2014-07-02,100525432,5.0,500,2014,True
7700000,2013-05-31,46000000,7.2,79,2013,True
4000000,2014-03-15,600896,5.8,631,2014,False
28000000,1996-10-25,16900000,6.7,97,1996,False
8500000,2014-10-23,38697217,7.6,3395,2014,True
22000000,2014-09-03,15447154,6.2,659,2014,False
75000000,1998-02-13,13100000,5.8,476,1998,False
2500000,2004-07-28,26781723,7.1,618,2004,True
1500000,2005-03-25,712294,6.5,43,2005,False
2627000,1944-03-01,5363000,6.0,8,1944,True
55000000,2006-09-10,9450897,5.7,95,2006,False
19000000,2010-01-08,29922472,6.4,465,2010,True
140000000,2014-12-03,268031828,5.6,1921,2014,True
6000000,2001-01-18,1270522,7.7,3452,2001,False
140000000,2002-07-03,441818803,6.0,3114,2002,True
50000000,1996-12-06,273552592,6.7,913,1996,True
60000000,2009-06-18,62357900,4.6,524,2009,False
18000000,1986-10-05,41382841,5.9,136,1986,True
125000000,2011-04-20,626137675,7.1,2438,2011,True
150000000,2008-11-21,309979994,6.3,1750,2008,True
35000000,2009-01-16,73034460,5.7,202,2009,True
14000000,1995-03-31,2474000,5.2,10,1995,False
40000000,2013-02-14,74597643,5.7,332,2013,True
2000000,2000-06-16,20908467,7.6,521,2000,True
2500000,2013-08-02,6854611,6.8,1048,2013,True
25000000,2000-09-01,15843608,4.4,104,2000,False
20000000,1977-11-16,303788635,7.2,1098,1977,True
115000000,2002-06-14,77628265,5.8,341,2002,False
6500000,1980-06-25,31899000,6.8,157,1980,True
16000000,2012-05-16,68263166,7.6,1662,2012,True
70000000,2013-03-20,161025640,6.2,2981,2013,True
18500000,1986-07-18,183316455,7.7,3220,1986,True
32000000,2006-06-16,80197993,5.6,359,2006,True
439000,1933-02-02,2281000,6.1,37,1933,True
150000000,2007-10-28,287594577,5.7,1171,2007,True
76000000,2000-06-30,35134820,3.9,87,2000,False
130000000,2010-10-28,321887208,6.7,1918,2010,True
8000000,2009-01-30,29010817,5.2,99,2009,True
35000000,2008-12-19,75225693,6.7,796,2008,True
175000000,2007-06-09,173000000,5.3,1151,2007,False
3950000,1930-11-15,8000000,6.1,19,1930,True
24000000,1997-12-09,172363301,6.1,840,1997,True
28000000,2010-03-22,96188903,7.1,4645,2010,True
88000000,2015-07-16,243637091,5.6,2513,2015,True
3000000,2013-04-05,11176469,7.4,568,2013,True
15000000,2001-09-07,12000000,5.9,97,2001,False
1300000,1976-02-07,28262574,8.0,2535,1976,True
13000000,2014-06-14,45300000,5.7,290,2014,True
50000000,2009-03-15,709827462,5.6,2436,2009,True
70000000,1990-07-02,240031094,6.6,1896,1990,True
2000000,1993-10-01,54207,5.9,88,1993,False
170000000,2011-11-22,185770160,7.0,2141,2011,False
11000000,1999-07-09,235483004,6.4,2296,1999,True
12400000,2013-05-21,8371085,7.3,720,2013,False
75000000,2003-06-09,51142659,5.0,166,2003,False
60000000,2002-12-19,93354918,5.9,487,2002,True
29000000,2016-05-06,48902953,6.6,392,2016,True
44000000,1995-12-22,13681765,7.1,71,1995,False
40000000,2011-12-24,55247881,6.9,708,2011,False
170000000,2014-06-26,710644566,7.3,4410,2014,True
12000000,2015-06-18,85512300,6.1,1937,2015,True
60000000,2014-01-15,50549107,5.9,1173,2014,False
20000000,2002-08-23,12398628,6.1,139,2002,False
6500000,2011-10-02,17693675,7.0,875,2011,True
53000000,2009-10-15,126690726,7.2,1486,2009,True
6000000,2011-07-07,19560274,6.8,372,2011,True
30000000,1998-02-06,19204929,6.0,127,1998,False
3600000,1987-03-13,5923044,7.6,742,1987,True
55000000,2002-12-13,154906693,5.6,485,2002,True
4500000,1984-03-22,146198896,6.5,602,1984,True
22000000,1993-04-17,10696210,4.2,305,1993,False
60000000,2014-09-10,108255770,6.6,668,2014,True
12000000,2006-03-03,23006849,5.8,364,2006,True
60000000,2008-12-25,39031337,4.7,320,2008,False
35000000,2005-02-25,19294901,5.1,167,2005,False
800000,2009-01-09,1984662,6.1,311,2009,True
5500000,2013-07-20,99067206,7.5,205,2013,True
30000000,2007-08-29,129266061,7.4,1049,2007,True
17000000,2011-08-18,24922237,6.0,603,2011,False
80000000,2008-12-24,212874442,5.9,901,2008,True
12000000,2006-08-11,114194847,6.7,1060,2006,True
100000000,2002-08-15,7103973,4.4,142,2002,False
60000000,2015-01-21,30418560,5.4,1055,2015,False
26000000,2000-08-30,71868327,7.3,1112,2000,True
16000000,2014-05-18,3442853,6.4,258,2014,False
8000000,2011-04-29,10130000,5.7,134,2011,False
35000000,2002-02-10,45479110,5.4,239,2002,False
4,1932-12-08,25,6.2,28,1932,True
2500000,1982-10-22,14400000,5.0,229,1982,True
160000,1989-09-01,6706368,7.4,90,1989,True
35000000,2007-07-04,69307224,5.2,253,2007,True
28000000,1993-09-23,669276,6.8,26,1993,False
25000000,2005-06-02,36351350,5.4,115,2005,False
40000000,1999-02-26,96618699,6.1,474,1999,True
28000000,2003-03-14,58795814,5.0,284,2003,True
15000000,2006-04-28,76286096,6.9,367,2006,True
3000000,2005-08-18,9879971,6.9,94,2005,True
61000000,2015-09-09,311256926,6.4,3040,2015,True
19800000,2014-09-10,41296320,6.5,505,2014,True
20000000,2002-10-01,8586376,4.7,146,2002,False
66000000,2011-12-25,177584879,7.0,992,2011,True
50000000,2014-03-20,80383290,6.2,316,2014,True
145000000,2008-07-01,401128639,5.2,1387,2008,True
133000000,1999-12-17,300135367,5.8,959,1999,True
1500000,2013-07-24,3566225,5.5,342,2013,True
59000000,2002-03-10,383257136,7.1,3857,2002,True
45000000,2005-05-13,56070433,5.6,176,2005,False
120000000,2012-11-20,609016565,7.2,5797,2012,True
35000000,2006-09-06,15304890,6.8,827,2006,False
71000000,1998-06-22,294456605,5.4,686,1998,True
145000000,2011-12-07,694713380,6.8,3972,2011,True
9000000,2002-09-13,4777465,6.5,95,2002,False
45000000,2007-09-20,148412065,6.1,1292,2007,True
218,2003-10-19,1162014,7.5,22,2003,True
100000000,1996-06-21,100138851,6.8,1129,1996,False
2800000,1974-12-15,86273333,7.7,854,1974,True
60000000,1998-10-02,171757863,6.0,1272,1998,True
1455000,1968-11-06,2620000,5.4,12,1968,True
130000000,2008-11-18,49554002,6.3,694,2008,False
25000000,2008-03-28,11207130,6.1,82,2008,False
25000000,2012-12-25,119772232,5.7,210,2012,True
6400000,2011-10-17,35057696,6.6,406,2011,True
20000000,2016-02-19,12639297,5.6,797,2016,False
25485000,1970-01-26,29548291,6.9,147,1970,False
69000000,2010-07-30,86387857,5.5,531,2010,False
25000000,2011-09-16,27603069,7.0,738,2011,False
57000000,2005-10-06,52034889,6.1,327,2005,False
48000000,1989-05-24,474171806,7.6,3152,1989,True
42000000,2001-08-03,35402320,5.8,198,2001,False
45000000,2006-03-23,184376254,7.3,1630,2006,True
70000000,1998-03-05,56702901,6.1,109,1998,False
25000000,2007-03-22,229736344,6.1,663,2007,True
17000000,1986-02-14,6735922,5.8,177,1986,False
30000000,1994-03-18,51132598,6.3,521,1994,True
20000000,2010-10-21,136150434,5.8,730,2010,True
8000000,2006-07-06,12671300,6.5,42,2006,True
210000000,2006-05-24,459359555,6.3,3525,2006,True
1350000,1998-03-05,3897569,7.5,1648,1998,True
20000000,2004-03-19,72258126,7.9,3652,2004,True
1000000,2013-09-19,4235151,7.3,221,2013,True
21000000,2006-09-01,26193068,7.2,277,2006,False
3000000,2012-08-06,11947954,5.3,444,2012,True
9000000,2008-10-03,32973937,6.4,379,2008,True
65000000,2012-05-15,179379533,5.9,1743,2012,True
25000000,1993-11-24,441286195,7.0,1591,1993,True
10000000,2007-09-06,33000000,6.2,238,2007,True
12000000,2004-05-20,19271312,6.9,206,2004,True
500000,2010-07-09,98017,5.7,251,2010,False
25000000,2012-01-26,77278331,6.4,1451,2012,True
4000000,2006-11-17,4630045,5.5,69,2006,False
150000000,2011-04-21,449326618,6.6,6525,2011,True
100000000,2015-11-20,93820758,6.5,1276,2015,False
39000000,2005-08-25,38869464,7.4,1264,2005,False
20000000,2015-04-23,6420319,7.0,185,2015,False
31000000,2012-11-02,161772375,6.5,2415,2012,True
3300000,2015-01-29,64110728,5.1,505,2015,True
12000000,2014-04-16,101332962,6.0,229,2014,True
7400000,2006-08-11,17000000,6.1,42,2006,True
1500000,2007-04-10,30448000,7.1,934,2007,True
18000000,2013-08-29,10501938,4.9,246,2013,False
40000000,2005-11-23,31670620,6.7,155,2005,False
