budget,release_date,revenue,vote_average,vote_count,year,Success
11500000,2016-01-21,94073028,5.7,1406,2016,True
40000000,2005-11-09,46442528,6.3,186,2005,False
1000000,2011-09-30,34522221,6.8,77,2011,True
55000000,1999-12-16,100230832,6.8,422,1999,True
25000000,2009-09-11,10589102,6.0,326,2009,False
3716946,1970-05-13,5000000,6.9,47,1970,False
20000000,2006-10-13,22165608,5.0,163,2006,False
10000000,2011-12-23,303877,5.8,45,2011,False
25000000,2013-12-05,6399,5.1,73,2013,False
20000000,2007-08-17,121463226,7.0,2100,2007,True
40000000,2004-10-29,124731534,7.2,467,2004,True
40000000,2008-02-01,151161491,6.2,716,2008,True
140000000,2001-05-21,449220945,6.6,1791,2001,True
65000000,2001-05-11,117487473,6.6,907,2001,True
40000000,2014-11-12,169837010,5.4,1127,2014,True
20000000,2007-08-31,16974459,6.5,297,2007,False
64000000,1999-10-08,74608570,5.3,63,1999,False
6000000,2006-02-24,57231524,6.0,77,2006,True
15000000,1983-07-28,61399552,7.1,410,1983,True
45000000,2007-12-25,175372502,7.0,1111,2007,True
75000000,2012-06-13,59418613,6.0,385,2012,False
32000000,2010-08-26,69055695,6.0,394,2010,True
190000000,2015-05-19,209154322,6.2,2846,2015,False
127000000,2014-12-17,349424282,6.1,1851,2014,True
700000,2006-08-11,4911725,6.5,240,2006,True
5000000,2014-03-25,10429707,5.5,121,2014,True
150000000,2010-05-19,335154643,6.2,2317,2010,True
49000000,2015-03-04,104399548,6.6,3062,2015,True
49000000,2001-11-02,72700000,5.7,437,2001,False
61000000,2013-08-02,131940411,6.6,1589,2013,True
150000000,2009-06-19,836297228,6.0,3138,2009,True
35000000,2008-02-08,43650785,5.7,57,2008,False
15000000,1998-07-24,17507368,5.5,104,1998,False
25000000,2011-08-09,124272124,7.8,1910,2011,True
23000000,1998-07-15,369884651,6.5,1590,1998,True
70000000,2007-11-05,195735876,5.5,841,2007,True
200000,1996-10-18,4505922,6.8,253,1996,True
2280000,1940-11-13,83320000,7.2,808,1940,True
55000000,2002-01-04,6416302,5.3,123,2002,False
24000000,2008-09-18,42105111,6.1,721,2008,True
15000000,2014-12-05,52501541,7.0,951,2014,True
45000000,2008-08-22,73762516,6.0,1175,2008,True
70000000,1991-12-11,300854823,6.6,1532,1991,True
70000000,2014-10-01,215529201,6.2,2389,2014,True
90000000,2013-12-18,188133322,7.0,3144,2013,True
10000000,2009-10-16,9069,7.0,5,2009,False
22000000,2013-11-27,43058898,6.4,875,2013,True
15000000,2008-05-12,377910544,7.6,2827,2008,True
15000000,2013-10-22,151831537,6.0,680,2013,True
20000000,2007-01-05,10337477,4.7,78,2007,False
22000000,2003-08-29,68296293,7.0,262,2003,True
8000000,2014-01-29,26049082,6.1,1004,2014,True
31000000,1990-08-09,53208180,6.2,433,1990,True
10000,1977-03-19,7000000,7.5,485,1977,True
18000000,2016-03-23,88923251,5.5,322,2016,True
75000000,2013-05-29,117698894,7.3,5487,2013,True
60000000,2006-09-22,17800000,6.3,271,2006,False
6500000,1991-07-12,57504069,7.4,364,1991,True
35000000,2012-02-23,24159934,5.3,394,2012,False
258000000,2007-05-01,890871626,5.9,3576,2007,True
60000000,2008-09-11,73174566,5.9,375,2008,False
10000000,2009-11-06,47536959,6.9,417,2009,True
3000000,1948-08-26,9012000,7.3,82,1948,True
24000000,2007-11-21,99965753,5.9,966,2007,True
13500000,2015-09-18,187674,5.2,32,2015,False
5000000,2010-05-14,4074023,5.9,11,2010,False
30000000,2009-08-19,48428063,6.6,1262,2009,True
15000000,2001-10-14,23000,6.1,7,2001,False
225000000,2008-05-15,419651413,6.3,1630,2008,True
5000000,2015-07-30,58978653,6.7,1049,2015,True
35000000,2004-03-25,36098382,5.8,325,2004,False
11,1978-04-26,11,6.4,29,1978,False
17000000,2012-04-20,73244881,5.6,546,2012,True
30000000,1995-08-04,24048000,5.4,163,1995,False
100000000,2001-07-25,362211740,5.6,1243,2001,True
250000,2011-10-28,3542353,6.4,381,2011,True
10000000,2015-11-12,3727746,5.4,156,2015,False
26000000,2002-03-17,38793283,4.9,89,2002,False
5000000,2003-10-23,2466444,6.2,73,2003,False
35000000,2015-03-05,14431253,5.0,320,2015,False
2000000,1961-09-25,7600000,7.6,240,1961,True
45000000,2000-12-14,212000000,6.1,961,2000,True
65000000,1998-12-17,250821495,6.3,838,1998,True
85000000,2008-02-10,222231186,5.9,1799,2008,True
3000000,2002-08-01,19184015,5.0,1,2002,True
30000000,1998-05-15,29202884,6.3,66,1998,False
78146652,2009-03-19,60000000,5.7,201,2009,False
48000000,2002-03-29,196397415,6.5,1267,2002,True
15000000,1997-12-25,64256513,6.7,270,1997,True
28000000,2013-10-11,8555008,5.7,364,2013,False
