budget,release_date,revenue,vote_average,vote_count,year,Success
25000000,2004-04-30,30114487,4.7,114,2004,False
5300000,2002-05-17,3897799,7.0,266,2002,False
250000000,2012-07-16,1084939099,7.6,9106,2012,True
28000000,2000-08-25,90449929,5.8,568,2000,True
65000000,2014-12-19,133821816,6.0,466,2014,True
12000000,2014-05-16,307166834,7.6,3759,2014,True
15000000,2006-12-08,10903846,6.6,243,2006,False
150000000,2008-07-01,624029371,6.2,2961,2008,True
100000000,2010-11-04,167805466,6.3,1165,2010,True
1800000,1971-10-09,41158757,7.4,422,1971,True
10000000,1997-12-05,225933435,7.9,2811,1997,True
55000000,2003-03-11,34234008,6.0,189,2003,False
47000000,2006-09-14,38085778,4.6,104,2006,False
75000000,1998-10-16,46683377,6.3,338,1998,False
12000000,2003-09-09,23,4.6,89,2003,False
5000000,2016-04-01,23507567,5.7,72,2016,True
35000000,2003-09-05,11560806,4.8,91,2003,False
80000000,2011-07-06,169852759,5.3,498,2011,True
70000000,2004-09-17,57958696,5.7,439,2004,False
35000000,2003-10-03,131282949,6.7,1414,2003,True
6000000,2003-04-16,18750246,6.6,74,2003,True
560000,1964-07-06,12299668,7.3,168,1964,True
33000000,1999-06-08,310940086,6.2,1011,1999,True
75000000,2006-07-21,42285169,5.3,409,2006,False
35000000,1995-09-20,15000000,6.7,25,1995,False
12000000,2009-09-14,1644755,6.5,84,2009,False
7000000,2011-09-28,6038942,7.4,677,2011,False
40000000,2012-01-26,36893721,5.3,388,2012,False
50000000,2005-09-23,42093706,6.7,274,2005,False
40000000,2003-11-21,141591324,5.8,629,2003,True
32000000,1989-07-07,156167015,5.9,541,1989,True
35000000,1999-02-12,40263020,6.3,245,1999,False
40000000,2004-01-16,46546197,4.7,119,2004,False
39000000,1983-06-17,75850624,5.3,490,1983,True
20000000,2007-03-23,22222308,7.1,334,2007,False
3705538,1992-09-02,62548947,6.9,176,1992,True
22000000,2005-11-09,17709155,7.2,212,2005,False
5800000,1964-09-21,6800000,7.2,72,1964,False
5000000,1981-07-13,42365581,6.6,249,1981,True
90000000,2009-06-29,886686817,6.5,2271,2009,True
777000,1973-08-01,140000000,6.9,324,1973,True
60000000,2014-02-13,30800231,6.0,487,2014,False
51500000,2007-09-14,55112356,7.2,848,2007,False
28000000,2014-02-14,52597999,6.0,883,2014,True
60000000,2004-06-17,219417255,7.0,1910,2004,True
6500000,2013-05-31,2401510,6.5,305,2013,False
135000000,2013-03-20,585178928,6.8,2399,2013,True
1500000,2005-10-05,11098131,6.9,226,2005,True
90000000,2010-11-24,16178959,5.4,50,2010,False
7,2009-08-09,7,5.2,6,2009,False
65000000,1990-06-01,261317921,7.1,1710,1990,True
19000000,1999-10-29,40846082,5.5,209,1999,True
1500000,2001-08-10,373967,6.2,251,2001,False
25000000,2011-09-16,10324441,5.5,144,2011,False
2500000,2012-07-13,33400000,4.6,19,2012,True
1000000,2006-01-30,7202,6.6,32,2006,False
110000000,2003-04-24,407711549,6.8,3506,2003,True
135000000,2013-07-11,282570682,6.1,1074,2013,True
15000000,2016-04-21,20566327,6.0,421,2016,False
7000000,2001-11-16,10229331,5.3,26,2001,False
25000000,1999-08-13,13000000,6.2,111,1999,False
7000000,2008-10-24,1100000,6.7,3,2008,False
70000000,2009-11-19,104945765,5.6,556,2009,False
60000000,2008-12-25,244082376,6.9,1343,2008,True
2000000,1998-09-18,124494,5.8,36,1998,False
9000000,2010-05-14,771499,4.8,14,2010,False
28000000,2011-08-11,40547440,5.6,531,2011,False
8500000,2008-12-04,8936663,6.0,152,2008,False
1000000,1987-09-11,14564027,6.9,449,1987,True
9000000,1998-09-17,17096053,7.5,676,1998,True
11000000,1990-01-19,48572000,6.6,864,1990,True
35000000,2010-04-02,39340177,4.6,149,2010,False
21000000,2012-09-08,205738714,6.9,4742,2012,True
10000000,1999-07-23,10571408,6.4,86,1999,False
7400000,2011-05-26,21817298,7.0,885,2011,True
225000,2012-11-01,111300,6.9,6,2012,False
160000,2007-03-23,20710513,7.3,453,2007,True
7000000,2005-09-16,54600000,6.8,273,2005,True
11000000,1975-12-18,20000000,7.7,505,1975,True
12000000,2012-04-16,96070507,6.9,281,2012,True
15000000,2015-11-26,61548707,5.9,584,2015,True
7,1992-05-01,5,5.7,63,1992,False
175000000,2015-11-14,331926147,6.6,1736,2015,True
40000000,2008-10-10,9793496,7.1,71,2008,False
400000,1975-03-13,5028948,7.8,1708,1975,True
57000000,2001-09-04,16991902,6.0,190,2001,False
25000000,2015-04-16,65663276,7.4,1990,2015,True
30000000,2008-04-23,63833449,5.8,205,2008,True
25000000,2008-08-22,70442940,5.6,529,2008,True
1000000,2002-01-11,464000,6.7,13,2002,False
40000000,1989-11-20,332000000,7.4,3829,1989,True
12000000,2013-02-28,12077441,6.5,882,2013,False
20000000,2010-08-31,65464324,5.8,481,2010,True
46000000,1996-11-21,150000000,7.0,661,1996,True
16000000,2004-10-22,109502303,6.9,478,2004,True
40000000,2006-07-21,23937870,5.1,213,2006,False
1500000,2010-09-13,97009150,6.8,1737,2010,True
90000000,1997-07-02,589390539,6.9,4412,1997,True
65000000,2006-12-09,422610419,7.0,4997,2006,True
30000000,1995-10-30,373554033,7.7,5269,1995,True
150000000,2007-06-28,938212738,7.4,5494,2007,True
75000000,2016-06-18,875958308,5.9,3462,2016,True
40000000,2012-02-02,24719215,6.6,152,2012,False
13400000,2010-12-29,16700000,4.7,7,2010,False
32000000,1996-07-05,152036382,6.2,323,1996,True
66000000,2011-09-23,57777106,6.1,695,2011,False
11000000,2015-10-20,62076141,7.2,1213,2015,True
3200000,2010-09-11,5332926,6.8,347,2010,True
30000000,2002-09-26,180622424,6.0,394,2002,True
7000000,2010-08-01,453079,5.9,29,2010,False
1250000,1981-05-01,21722776,6.0,315,1981,True
80000000,2008-11-26,163733697,5.3,331,2008,True
14000000,2011-09-30,46495,6.1,86,2011,False
70000000,2004-08-12,171183863,5.5,1217,2004,True
90000000,1999-10-28,60289912,7.3,481,1999,False
95000000,2014-12-12,114178613,5.2,957,2014,False
10000000,2010-11-11,66821036,4.7,507,2010,True
40000000,2016-05-13,320170008,7.0,1949,2016,True
70000000,2007-08-03,442824138,7.3,2888,2007,True
2000000,2007-07-27,1431623,7.2,23,2007,False
90000000,2006-10-05,289847354,7.9,4339,2006,True
13800000,1986-10-07,52293982,6.7,291,1986,True
6000000,2012-09-07,13231461,6.4,379,2012,True
7000000,1975-06-18,470654000,7.5,2542,1975,True
120000000,2013-04-10,286168572,6.4,4800,2013,True
80000000,2003-11-26,19480739,5.4,318,2003,False
65000,2004-01-17,28575078,6.6,506,2004,True
6000000,2015-08-26,11122090,6.3,658,2015,True
65000000,2009-10-15,44091067,6.1,409,2009,False
1200000,1955-10-03,7000000,6.9,149,1955,True
17000000,2016-06-24,119100758,6.2,1567,2016,True
60000000,2005-10-20,55987321,5.0,609,2005,False
52000000,2006-06-01,204999686,5.6,832,2006,True
185000000,2008-05-21,786636033,5.7,2495,2008,True
120000000,2004-07-15,347234916,6.7,3793,2004,True
50000000,2004-11-10,40203020,6.1,750,2004,False
190000000,2013-05-05,467365246,7.4,4418,2013,True
11500000,1993-09-13,3275585,5.7,36,1993,False
11000000,2015-04-10,61619773,7.3,440,2015,True
2777000,1939-08-15,33754967,7.4,1642,1939,True
40000000,2005-04-30,68766121,5.5,677,2005,True
1800000,1984-11-14,25504513,7.2,1180,1984,True
9000000,2014-07-17,108782847,6.6,1954,2014,True
12000000,1983-11-18,30400000,6.2,51,1983,True
20000000,2008-02-28,64822796,6.6,697,2008,True
25530000,1996-05-17,20080020,5.3,84,1996,False
5000000,2011-10-19,205703818,5.9,669,2011,True
40000000,2009-08-21,28972508,5.1,44,2009,False
22000000,2013-12-06,15400000,6.5,720,2013,False
100000000,2010-08-06,170432927,6.1,1383,2010,True
20000000,2010-04-11,45636368,6.3,257,2010,True
6000000,2000-03-01,9000000,5.9,15,2000,False
25000000,2013-10-25,71009334,5.0,712,2013,True
6000000,2003-11-14,2944752,6.6,111,2003,False
